ID,TARGET
144647,Standard
11922,Poor
97127,Standard
129837,Good
29545,Poor
88399,Good
25797,Poor
135078,Poor
76051,Poor
62706,Poor
139365,Standard
20730,Standard
118248,Poor
114433,Standard
130909,Standard
87896,Good
125533,Good
128256,Good
53701,Standard
100124,Good
85014,Poor
55297,Standard
102790,Standard
108215,Poor
77970,Standard
99959,Good
65266,Poor
154700,Poor
28081,Poor
116827,Poor
39811,Standard
111139,Poor
83205,Standard
54841,Poor
32398,Standard
143095,Poor
80269,Poor
135282,Standard
117810,Good
68407,Standard
112271,Standard
112941,Standard
155135,Standard
84839,Poor
18601,Poor
72395,Standard
29109,Poor
140910,Poor
146818,Good
23743,Poor
27395,Good
54357,Standard
84873,Good
21992,Standard
40716,Standard
11412,Good
140852,Poor
152406,Standard
32683,Standard
61362,Poor
152040,Standard
63630,Poor
36421,Standard
96707,Poor
53159,Standard
8493,Standard
69906,Good
78740,Standard
22813,Standard
114562,Standard
115099,Standard
126548,Good
124434,Good
19027,Standard
33475,Standard
134203,Standard
154092,Good
69487,Good
46103,Standard
53904,Poor
110243,Standard
36540,Good
134197,Good
19615,Poor
107434,Good
57779,Standard
88020,Standard
33384,Good
39000,Standard
92881,Poor
105646,Standard
29506,Standard
114349,Good
151621,Standard
98538,Standard
29970,Poor
121713,Poor
74108,Standard
31138,Standard
64668,Good
36751,Poor
93229,Standard
111947,Poor
28221,Poor
153908,Good
38119,Standard
63385,Standard
31993,Standard
58043,Good
117883,Standard
99997,Poor
153157,Good
153313,Poor
27142,Good
154919,Standard
34303,Standard
145824,Standard
12229,Poor
131473,Good
13165,Good
126156,Poor
48847,Poor
32205,Poor
88931,Good
50424,Standard
62628,Standard
62503,Standard
98634,Good
89041,Standard
51324,Poor
45407,Poor
66019,Standard
33249,Poor
45145,Poor
102354,Standard
132716,Good
32159,Standard
107735,Standard
44364,Standard
133957,Standard
43819,Poor
72585,Standard
135272,Standard
122899,Poor
10271,Standard
88723,Good
35243,Standard
98479,Poor
96463,Standard
112425,Poor
144560,Poor
18239,Good
52524,Standard
116551,Poor
71604,Standard
75669,Standard
9296,Poor
23493,Poor
130405,Poor
107221,Standard
38171,Standard
106353,Standard
45056,Standard
117993,Standard
33764,Standard
30552,Standard
82366,Standard
144840,Good
69211,Good
112067,Standard
69355,Standard
35734,Standard
48733,Standard
116603,Poor
151627,Poor
78084,Good
53516,Standard
31907,Poor
98459,Poor
53241,Poor
72826,Standard
55425,Good
61800,Good
62233,Good
58304,Standard
129211,Good
43537,Poor
8324,Poor
83627,Good
7518,Standard
127030,Poor
5910,Poor
139417,Good
95939,Standard
41097,Poor
153920,Standard
7103,Good
8707,Poor
69418,Poor
141990,Poor
56732,Standard
122568,Poor
6205,Good
131250,Poor
47636,Standard
34678,Standard
51803,Poor
84018,Standard
9815,Standard
12320,Standard
151138,Standard
114276,Poor
31628,Poor
24966,Standard
105693,Poor
140915,Poor
116653,Poor
71229,Poor
44590,Poor
44242,Standard
39865,Poor
15440,Standard
54721,Standard
147225,Poor
90259,Good
42984,Standard
130184,Poor
92484,Poor
99931,Poor
30200,Standard
144271,Good
56352,Standard
153910,Good
19927,Poor
130930,Poor
54599,Poor
53072,Poor
119040,Standard
45549,Good
88053,Standard
30671,Good
22412,Standard
77217,Standard
121485,Poor
125660,Standard
119566,Standard
141936,Good
34824,Standard
22267,Standard
106110,Standard
27882,Standard
17029,Standard
17710,Poor
13184,Poor
147371,Poor
93767,Poor
70165,Poor
107202,Poor
70027,Standard
125197,Good
41994,Poor
14158,Poor
129517,Standard
27583,Poor
145320,Good
80218,Standard
90032,Good
144740,Poor
26723,Standard
128313,Standard
154065,Poor
77509,Standard
78781,Standard
9656,Good
81205,Poor
73955,Standard
98122,Standard
38611,Good
110567,Poor
138347,Good
66825,Standard
7453,Standard
55520,Poor
59447,Standard
65965,Standard
43434,Good
53886,Good
93354,Poor
114462,Good
15693,Poor
137329,Standard
10225,Poor
124429,Standard
49243,Poor
76883,Good
74183,Good
10880,Poor
144678,Standard
89017,Poor
34849,Poor
16321,Poor
101889,Poor
82295,Poor
63390,Good
12457,Good
9648,Standard
105478,Poor
22125,Poor
147840,Standard
110888,Poor
34786,Poor
26878,Poor
66179,Poor
28305,Standard
38687,Standard
17245,Standard
71289,Standard
122052,Good
72935,Standard
118391,Good
67499,Poor
103977,Poor
56143,Standard
143977,Standard
71515,Standard
144371,Standard
77384,Standard
119293,Standard
39032,Poor
30441,Standard
112438,Standard
154750,Poor
134554,Poor
57358,Standard
138607,Good
154302,Standard
142134,Poor
51166,Standard
91941,Good
96886,Standard
127607,Poor
114558,Standard
121593,Poor
53732,Standard
96694,Standard
60330,Poor
152830,Poor
141502,Standard
6763,Standard
101532,Poor
49488,Good
14460,Good
102512,Standard
106237,Standard
122865,Poor
145186,Poor
48474,Standard
150463,Standard
83130,Standard
127091,Standard
10729,Standard
55237,Standard
133522,Standard
149317,Poor
103285,Poor
137862,Standard
12572,Good
110142,Standard
20821,Standard
107372,Poor
65059,Good
34998,Standard
18090,Poor
126249,Poor
37933,Standard
16028,Standard
131756,Standard
68902,Poor
125095,Standard
45061,Poor
82174,Standard
6284,Standard
41948,Poor
83089,Standard
64002,Standard
126551,Standard
62986,Standard
14869,Poor
110611,Standard
139449,Good
69213,Good
31268,Poor
54226,Poor
58291,Poor
40057,Standard
150090,Good
113926,Good
144853,Poor
85147,Standard
37163,Standard
74370,Good
53635,Standard
35238,Standard
20264,Standard
29598,Standard
77712,Good
150825,Good
56929,Good
43691,Good
84720,Standard
77389,Standard
131819,Standard
151210,Poor
144141,Standard
37651,Poor
15504,Standard
80898,Poor
30728,Good
40029,Poor
82386,Standard
32772,Poor
15601,Poor
72059,Standard
13904,Standard
71531,Standard
103509,Standard
8466,Standard
26651,Poor
101005,Good
134088,Standard
71881,Poor
64542,Standard
29034,Poor
61831,Standard
119723,Poor
134349,Standard
127489,Standard
132211,Poor
101564,Good
122328,Poor
74255,Good
89455,Poor
146034,Poor
86194,Standard
61115,Poor
55341,Poor
64830,Poor
95444,Poor
84360,Poor
110689,Poor
55378,Good
22393,Standard
54901,Standard
119265,Standard
57297,Standard
84909,Standard
12525,Standard
16849,Good
39625,Standard
89538,Good
111481,Standard
81430,Standard
42180,Poor
78810,Standard
74088,Good
101230,Poor
56688,Standard
145895,Poor
140256,Poor
93909,Standard
133798,Standard
80509,Poor
79101,Poor
80373,Standard
137230,Standard
124590,Standard
142811,Poor
142617,Poor
33564,Standard
35364,Poor
94906,Standard
8673,Poor
115759,Poor
151920,Standard
99403,Standard
79003,Good
80085,Standard
104384,Poor
73645,Standard
106016,Poor
51583,Poor
72126,Good
122340,Poor
18070,Good
122562,Poor
74445,Poor
151606,Standard
65423,Standard
154585,Standard
57409,Standard
144534,Standard
75043,Standard
114223,Standard
52043,Poor
17984,Standard
108343,Standard
155365,Poor
150793,Good
15013,Standard
40751,Standard
130284,Standard
45706,Standard
72906,Poor
104987,Standard
17960,Poor
36487,Standard
131924,Standard
62658,Standard
154735,Poor
96561,Poor
85830,Standard
84942,Poor
135093,Standard
49147,Standard
47545,Poor
125683,Poor
74360,Standard
52182,Standard
150013,Standard
122253,Poor
19014,Good
82882,Standard
26772,Standard
93174,Standard
5743,Good
41821,Standard
22548,Good
110599,Standard
25247,Standard
69637,Poor
132901,Standard
7738,Standard
67055,Standard
57720,Poor
74302,Standard
121098,Good
77629,Good
26146,Standard
81044,Poor
110581,Poor
63296,Standard
136968,Poor
39006,Standard
115279,Standard
126019,Standard
64705,Standard
62495,Standard
14076,Good
35365,Poor
85618,Standard
97401,Poor
59458,Standard
77196,Poor
62719,Standard
23952,Standard
113615,Standard
7897,Poor
96023,Good
14154,Poor
153632,Good
8592,Good
15756,Standard
149604,Good
41578,Standard
116274,Good
42733,Poor
87318,Standard
146025,Standard
96271,Standard
90625,Standard
86365,Poor
53733,Standard
15144,Poor
108791,Standard
18252,Good
19975,Standard
65278,Poor
119471,Standard
141462,Standard
5925,Standard
66729,Standard
46197,Poor
23516,Good
22110,Poor
31042,Poor
22078,Standard
19446,Poor
52542,Standard
100689,Poor
27330,Standard
61884,Standard
45835,Poor
54562,Good
37741,Standard
119736,Poor
33037,Poor
107230,Poor
131761,Poor
123864,Standard
102498,Standard
106365,Poor
32197,Good
50555,Poor
117680,Poor
110653,Good
42672,Standard
75259,Standard
29059,Poor
87247,Good
22158,Poor
120607,Good
40626,Good
124691,Poor
17695,Poor
127858,Standard
101976,Standard
75330,Standard
146624,Standard
98854,Poor
80049,Poor
149648,Standard
113988,Standard
25750,Good
9056,Good
10680,Poor
81706,Poor
134671,Standard
19561,Standard
34726,Good
54165,Good
139242,Poor
95229,Good
37339,Poor
46643,Standard
80876,Standard
132943,Good
81684,Good
80238,Poor
64897,Poor
12549,Standard
54284,Standard
49078,Poor
99967,Standard
122251,Poor
54751,Poor
84721,Standard
33308,Standard
96056,Good
147551,Poor
120540,Standard
52415,Standard
144763,Good
79487,Standard
9263,Standard
40883,Poor
49268,Standard
20712,Good
86988,Poor
22452,Good
13284,Poor
57259,Standard
21862,Standard
17292,Standard
87097,Standard
9378,Standard
114234,Standard
55352,Standard
58434,Good
8407,Standard
115104,Standard
71194,Poor
114143,Poor
149003,Poor
78049,Good
82440,Poor
147913,Standard
68190,Good
96082,Poor
79403,Standard
129789,Standard
62220,Standard
145703,Standard
7402,Poor
28952,Poor
56383,Good
96251,Standard
103054,Standard
39763,Poor
101303,Standard
110569,Poor
19557,Standard
92279,Poor
143963,Standard
50087,Poor
34760,Standard
79151,Poor
8108,Good
32148,Standard
153229,Standard
73219,Poor
38568,Standard
110578,Poor
46655,Poor
137197,Standard
112725,Poor
17866,Poor
66493,Standard
81433,Standard
29374,Poor
82182,Standard
42078,Standard
152233,Standard
119541,Standard
101001,Standard
9440,Standard
10116,Good
137239,Good
141671,Standard
43652,Poor
67092,Standard
151081,Good
100147,Standard
137922,Standard
11478,Good
146889,Standard
141513,Poor
142344,Standard
16741,Standard
96117,Good
8994,Poor
94198,Standard
119256,Good
66006,Poor
110857,Standard
104173,Poor
55681,Standard
34830,Standard
111668,Standard
122622,Standard
10894,Standard
96394,Good
37448,Standard
93899,Poor
90992,Standard
66407,Standard
7138,Standard
134180,Standard
13723,Standard
6108,Standard
129907,Standard
85488,Standard
100029,Standard
103235,Standard
105696,Standard
40100,Good
71305,Standard
137299,Standard
12769,Good
109813,Standard
80723,Standard
143887,Poor
35527,Standard
117431,Poor
18684,Poor
140130,Good
147923,Good
58439,Good
133940,Poor
112916,Standard
11048,Standard
44912,Standard
40392,Standard
97069,Standard
82484,Standard
33992,Standard
47086,Standard
114839,Good
31513,Standard
39272,Good
142438,Poor
115126,Poor
141693,Standard
145818,Standard
20240,Poor
127002,Poor
15802,Standard
145705,Standard
113820,Poor
141478,Standard
25930,Good
18799,Poor
44458,Standard
147847,Standard
99513,Poor
61087,Standard
70919,Standard
45799,Good
22999,Good
34770,Standard
34675,Standard
118412,Standard
81896,Standard
20683,Poor
32904,Poor
119989,Good
77304,Poor
60246,Standard
23600,Standard
116723,Good
73218,Poor
39285,Poor
100555,Good
32227,Standard
67026,Standard
11245,Standard
61117,Poor
141188,Poor
47195,Standard
136956,Standard
94963,Poor
56022,Poor
129635,Good
121280,Standard
121054,Standard
58870,Good
89051,Standard
110925,Standard
20155,Standard
71490,Poor
24886,Standard
134400,Poor
131735,Standard
147296,Poor
86922,Standard
105215,Poor
8410,Standard
31032,Good
98900,Poor
97354,Poor
92974,Poor
48466,Poor
121831,Poor
17902,Poor
141932,Good
34175,Standard
23658,Poor
138082,Poor
17928,Standard
9381,Standard
27799,Standard
61597,Good
124208,Standard
148042,Standard
55998,Poor
101480,Poor
112377,Poor
126577,Standard
54548,Poor
100663,Standard
128876,Standard
86865,Standard
114312,Standard
67549,Standard
135824,Standard
146936,Good
91189,Poor
64991,Standard
47917,Standard
55427,Good
112525,Standard
27164,Standard
107961,Standard
124090,Poor
62782,Good
87517,Good
99587,Poor
135829,Standard
130568,Standard
113240,Standard
52271,Standard
43319,Poor
21114,Poor
93337,Standard
123084,Standard
51609,Good
147883,Good
66683,Poor
149494,Poor
103555,Standard
87956,Poor
12143,Good
97882,Standard
20886,Poor
58103,Good
14383,Standard
66126,Standard
121464,Poor
32579,Standard
74459,Standard
101195,Standard
60714,Good
65460,Standard
47760,Standard
64663,Good
98048,Good
47934,Poor
59580,Good
39505,Standard
66119,Standard
61482,Good
22556,Good
10990,Poor
107096,Good
150189,Standard
125804,Standard
152626,Poor
70319,Standard
131219,Good
102321,Good
121679,Standard
85044,Poor
145242,Standard
29443,Standard
52650,Poor
148618,Good
120418,Standard
88209,Poor
113303,Poor
144901,Standard
47436,Standard
140076,Standard
61064,Standard
75680,Standard
87222,Poor
90810,Poor
90983,Standard
145386,Standard
143502,Standard
57320,Standard
8886,Poor
135190,Standard
83701,Standard
22052,Good
19510,Standard
120214,Standard
17341,Poor
65815,Poor
21697,Poor
70907,Poor
148726,Poor
153463,Standard
139932,Standard
16667,Poor
25019,Standard
48250,Standard
138948,Standard
45894,Poor
30345,Good
63475,Good
129055,Standard
116257,Standard
39697,Standard
40896,Poor
19021,Good
149448,Poor
66102,Good
57357,Standard
148461,Standard
70665,Poor
98591,Standard
49499,Good
95781,Poor
150669,Standard
85560,Standard
89671,Poor
95600,Poor
81859,Standard
21684,Good
94116,Poor
75258,Poor
11660,Standard
54133,Standard
92231,Poor
62012,Standard
17794,Good
119589,Good
152698,Standard
74300,Standard
94585,Standard
9684,Standard
39092,Good
60275,Poor
131340,Standard
83796,Poor
33153,Poor
17388,Standard
12169,Poor
104518,Standard
148939,Poor
90492,Poor
112124,Standard
47818,Standard
133858,Standard
72093,Poor
107371,Poor
106843,Poor
105174,Poor
142461,Good
60936,Poor
120391,Standard
76110,Good
147823,Good
23311,Standard
145777,Poor
53730,Standard
126738,Standard
134265,Standard
72750,Poor
138392,Standard
14232,Good
125360,Standard
69162,Poor
102564,Standard
39732,Standard
108239,Standard
131358,Standard
104411,Standard
50641,Poor
119264,Standard
121138,Poor
84527,Standard
122901,Poor
124186,Standard
142100,Standard
46665,Standard
155292,Standard
45342,Poor
96177,Standard
122299,Standard
34956,Good
111019,Poor
94494,Poor
116101,Standard
101315,Poor
144959,Standard
14866,Poor
15642,Poor
32766,Poor
142881,Poor
131650,Standard
14182,Standard
49427,Poor
42114,Standard
37447,Standard
35133,Standard
111402,Poor
13548,Standard
93480,Good
153767,Poor
107027,Standard
47075,Standard
103330,Standard
56766,Standard
154028,Good
127893,Standard
103811,Poor
71529,Standard
14173,Good
136606,Standard
48673,Poor
118345,Standard
94243,Poor
153489,Good
70712,Standard
115691,Poor
137947,Standard
89419,Standard
128926,Good
35324,Poor
8528,Poor
145414,Poor
144006,Poor
117694,Standard
98509,Good
21474,Standard
11107,Standard
102253,Standard
33189,Standard
6841,Good
104459,Standard
88690,Poor
16050,Poor
115608,Standard
64798,Standard
69397,Poor
109699,Poor
128568,Standard
149647,Standard
29446,Standard
6743,Standard
86997,Standard
119089,Standard
141576,Standard
112734,Poor
33847,Poor
114883,Standard
40929,Poor
139772,Good
32484,Poor
49315,Standard
30601,Standard
40569,Standard
150367,Standard
134706,Standard
48560,Poor
7557,Poor
19235,Poor
12632,Standard
53958,Good
78920,Standard
115572,Standard
88748,Standard
143293,Standard
150187,Standard
70591,Standard
54044,Standard
84022,Standard
46737,Standard
43030,Standard
43237,Good
84764,Standard
38169,Standard
112570,Poor
125744,Standard
53844,Poor
18980,Poor
76783,Standard
76416,Poor
31557,Standard
16932,Good
127447,Standard
83670,Good
73772,Standard
136794,Standard
49377,Poor
105810,Good
36272,Standard
98673,Standard
15468,Standard
37453,Standard
57189,Standard
23274,Standard
111156,Poor
38554,Standard
117337,Poor
34511,Standard
16831,Standard
115051,Standard
46294,Standard
69198,Standard
81403,Good
19099,Standard
76448,Good
135045,Poor
27873,Poor
109113,Good
54092,Poor
34639,Standard
73568,Standard
75978,Standard
90791,Standard
102408,Poor
11305,Poor
137696,Standard
137347,Good
92816,Standard
76280,Standard
142619,Poor
147924,Good
108840,Good
26062,Poor
134840,Standard
95059,Good
52185,Standard
141801,Standard
142031,Standard
133773,Standard
81334,Good
19065,Good
129680,Standard
134001,Poor
140255,Poor
82843,Standard
108632,Standard
65118,Standard
122586,Standard
154775,Standard
116034,Poor
149779,Standard
51908,Good
103810,Poor
46309,Good
75895,Standard
74287,Poor
130113,Standard
80460,Standard
71768,Good
8589,Good
141863,Good
65503,Standard
59205,Good
75551,Good
66537,Good
37654,Standard
93325,Standard
93477,Good
153214,Good
92766,Poor
55078,Standard
81331,Good
58761,Standard
104316,Standard
36080,Poor
82626,Poor
70602,Standard
139905,Poor
37820,Standard
30336,Standard
47468,Poor
31028,Good
61544,Standard
10978,Standard
135119,Good
122529,Standard
15672,Poor
73725,Standard
28699,Standard
13749,Poor
9625,Standard
37871,Standard
123706,Poor
146516,Standard
82465,Good
117932,Poor
78872,Good
24342,Standard
130656,Standard
120068,Standard
140793,Standard
41106,Poor
104363,Standard
37201,Good
52594,Standard
15762,Standard
13365,Good
58507,Standard
8484,Standard
6768,Standard
109338,Standard
115676,Standard
20303,Good
118317,Standard
32637,Standard
26641,Poor
103691,Good
152660,Poor
36527,Poor
51791,Poor
120031,Good
79870,Poor
104442,Poor
90608,Standard
11828,Standard
112939,Standard
75625,Good
150680,Poor
93727,Standard
57491,Standard
83303,Standard
144057,Standard
148184,Good
89300,Poor
151797,Poor
82464,Good
6803,Standard
82297,Poor
10076,Standard
10439,Poor
146839,Standard
126259,Standard
77699,Good
62098,Standard
12373,Good
142053,Poor
106495,Standard
101407,Poor
49484,Good
153407,Poor
120138,Standard
19861,Standard
16523,Poor
96114,Good
55506,Good
35748,Standard
101507,Good
75828,Standard
150751,Poor
85417,Poor
148081,Poor
130819,Standard
137144,Standard
56106,Standard
136295,Standard
77636,Good
54966,Standard
32149,Standard
94677,Standard
65865,Standard
144069,Good
25917,Standard
91967,Standard
19894,Standard
61590,Good
23003,Good
132289,Standard
5770,Standard
153212,Good
105587,Good
143556,Standard
138597,Standard
128341,Poor
133746,Poor
89192,Standard
154759,Poor
33983,Standard
55614,Poor
49244,Poor
97171,Standard
41204,Poor
72322,Poor
72849,Standard
14491,Good
32562,Poor
138985,Standard
66847,Good
54175,Standard
55559,Standard
61246,Standard
101065,Poor
117427,Poor
66810,Poor
111246,Poor
86397,Poor
39210,Standard
86564,Poor
11994,Standard
47937,Poor
64799,Good
13164,Good
136584,Poor
44142,Poor
103759,Standard
108380,Poor
69523,Standard
140401,Poor
27756,Poor
86483,Standard
18585,Standard
71076,Good
37819,Standard
78309,Standard
131528,Poor
141707,Standard
55375,Good
34045,Poor
87588,Poor
112018,Good
18704,Standard
23407,Poor
7463,Standard
58938,Standard
113911,Poor
85146,Standard
99299,Standard
116555,Standard
25690,Standard
41215,Good
73269,Standard
45453,Standard
27103,Poor
121556,Good
151810,Good
60847,Poor
61124,Poor
154176,Standard
96283,Standard
47122,Poor
46402,Standard
56557,Standard
154537,Good
33502,Standard
52051,Standard
8065,Poor
114829,Good
48224,Good
149744,Standard
115663,Standard
50542,Poor
108947,Poor
61028,Standard
103458,Good
10198,Standard
97125,Standard
130668,Standard
84659,Standard
69948,Standard
51587,Poor
85559,Standard
136041,Standard
17324,Standard
117493,Good
127162,Poor
123426,Poor
10810,Standard
132294,Standard
153274,Good
107542,Standard
84561,Poor
64438,Standard
108066,Standard
40824,Poor
149074,Standard
27115,Standard
65185,Standard
132445,Good
101803,Standard
32168,Standard
135683,Standard
85195,Standard
51331,Good
106534,Standard
49151,Standard
154221,Good
36287,Good
18011,Poor
46146,Standard
104353,Poor
71457,Good
99564,Good
34608,Poor
49002,Standard
145271,Poor
72394,Standard
18680,Poor
128025,Good
89807,Standard
6348,Poor
62663,Standard
74778,Standard
34280,Poor
61806,Standard
132203,Good
54114,Standard
71269,Poor
134292,Poor
48085,Standard
47191,Standard
85495,Standard
7782,Standard
97761,Poor
143903,Standard
26406,Poor
65527,Poor
131588,Good
92815,Standard
115363,Standard
139473,Good
103761,Standard
36176,Standard
154723,Poor
71516,Standard
38492,Standard
128048,Poor
128158,Poor
19269,Standard
93382,Poor
21156,Poor
105405,Good
58831,Standard
43304,Standard
44099,Standard
5982,Poor
61907,Standard
119274,Standard
71434,Poor
72414,Poor
30789,Poor
148966,Standard
67808,Poor
105465,Standard
140449,Standard
31038,Poor
134340,Poor
139393,Good
34379,Standard
90337,Standard
107433,Good
69224,Good
119916,Standard
41029,Good
133506,Good
7704,Standard
102900,Standard
133260,Poor
58857,Standard
104610,Good
62552,Standard
106760,Poor
151834,Standard
62779,Good
36360,Standard
45225,Good
39682,Standard
15438,Standard
52291,Standard
91115,Standard
125866,Poor
59974,Good
122049,Good
59780,Poor
42523,Poor
82858,Standard
44685,Poor
80316,Poor
53720,Standard
70254,Standard
140202,Good
104682,Standard
150058,Standard
56420,Standard
119725,Poor
129488,Standard
69623,Good
93054,Standard
146490,Poor
